gene_symbol	baseMean	log2FoldChange	lfcSE	pvalue	padj
Gm44418	3.5243673730778	2.92240239954137e-06	0.00921908842830042	0.966926352840978	1
9530013L04Rik	2.29914617628093	8.56410990731936e-05	0.0155501884682409	0.443610777734578	1
Gm44414	19.7885235923452	4.55565375866575e-05	0.00745683009864272	0.424570202731425	1
Gkn2	0.763094893390725	0	0.0341450477609861	1	1
Adamts9	2683.71254143046	5.28710739416644e-05	0.00449296454076997	0.53593283154627	1
Gm15737	14.9001452703253	-0.000101089516947636	0.00921458860430376	0.158184508258955	1
Gm44224	1.89292487103569	-1.92009171575888e-05	0.0188169561956799	0.895538040010821	1
Gm43913	3.24425359229308	-6.92835396962208e-06	0.0150501396978236	0.953037320400576	1
Sinhcaf	797.368998652325	-4.98131077060375e-05	0.00439546790198372	0.743474287736569	1
3010003L21Rik	35.6408930584483	-4.10798842988395e-05	0.00550361006287178	0.441246312464041	1
Dennd5b	2401.72069779202	-3.19038756862524e-05	0.00439890195804734	0.817546270177076	1
Gm15779	1.98297778674563	-6.26309783301802e-05	0.0168719741716975	0.622847265539123	1
Gm49058	5.3214457543408	0.000261565768593965	0.0240145365563786	0.119560359634608	1
Gm15780	0.74070295391648	4.12891809414823e-05	0.0301959953148043	0.840820027253871	1
Etfbkmt	1096.02162543313	-0.000164676078951511	0.00504256970539509	0.0971543366826976	1
Gm44077	0.62213406558021	0.00014098331988997	0.0289242864818091	0.491914762812312	1
Halr1	4.65944162023603	-9.49540224721427e-05	0.0140262352380841	0.329226459529255	1
5730596B20Rik	151.328976296585	6.17526593482881e-05	0.00605007900329646	0.286083506372472	1
Kbtbd8	177.557038065593	-6.39392622048545e-05	0.00514749970915287	0.30835817897311	1
Gm5723	0.418513874061862	0.000147519956524578	0.0418749396606441	0.534828446471897	1
Suclg2	1955.72913473949	-0.000213171500066122	0.00439710761423339	0.293974017727664	1
Prokr1	52.5838293148384	3.75756672202019e-05	0.00571317338919132	0.470350371031003	1
Aplf	311.510364365436	1.79978750644091e-05	0.00441346381464695	0.87099718765475	1
Gm44097	1.37621955858198	9.23805167494017e-05	0.0186279676813694	0.501465214716005	1
ENSMUSG00000121511	5.79248784828068	-0.000102593092538479	0.0130669262351625	0.252993751242853	1
Gm45140	7.64778310942956	-4.34690775246768e-05	0.00834325696944484	0.479368895349182	1
A730049H05Rik	66.8191075310466	-0.000191206722539617	0.014607227095971	0.0758969740126017	1
Gm16161	44.3993272526967	5.87010300596616e-05	0.00507335880611074	0.342368937712093	1
Cpne9	8.24396010846564	-3.31686243719718e-06	0.00925899580838694	0.962626956181794	1
Gm43935	6.82305600353329	2.98419515161985e-06	0.00840620415233036	0.96295930779568	1
Brpf1	2194.53543928892	1.46561148837743e-05	0.00440443287788304	0.905598284870809	1
Gm15492	2.58119249159923	-6.20061233108326e-05	0.0123779752981173	0.485626239846478	1
Ogg1	421.560917266344	0.000175384465872127	0.00465369139131001	0.128945682335561	1
Camk1	2830.89313952014	0.000194741644608732	0.00442965181483511	0.224801461497782	1
Gm20589	3.49808201046884	2.07643543526803e-05	0.0129638821683621	0.835406630058852	1
Tada3	1132.21960139564	-9.4130019297602e-05	0.00439899163834145	0.546596553063434	1
Arpc4	3320.88406674454	-4.99747303083688e-05	0.00442686565384166	0.640669855057614	1
Ttll3	858.228027304813	-0.000191108590472123	0.00458507437397178	0.129797647456499	1
Rpusd3	57.8352170580605	2.37161038409563e-05	0.00478398547378589	0.67145188329564	1
Gm44280	41.4752258273426	-0.000123273634641191	0.00892215219833205	0.105987317874314	1
Cidec	355.911240902567	-3.65523452076848e-05	0.00489448141387122	0.522620009173308	1
Jagn1	718.977477841375	-4.10151723935883e-06	0.00441737426605399	0.968930776424284	1
Il17re	974.394147268222	0.000156204301293198	0.00457287266567703	0.172832477187677	1
Il17rc	716.394104717	8.09083710351144e-05	0.00439814017990172	0.598554752247363	1
Gm57002	5.5994749748017	7.8811540720766e-05	0.011481791884479	0.324497294576507	1
Prrt3	23.924812727204	-2.77709542176437e-05	0.00603660580782934	0.582406544735905	1
Emc3	3257.62622731423	-0.000185702592923426	0.00439165457823789	0.373025350198206	1
Gm55775	0.672293600718187	8.38427917898312e-05	0.028174598904314	0.674946937041475	1
Fancd2	161.427531439513	-2.72566545928368e-05	0.00463998043321934	0.661754897525569	1
2310069B03Rik	3.01160434829284	-0.000256485051057527	0.0289999116464486	0.211027803404195	1
Gm6312	1.41641115087583	1.12645466309678e-05	0.0199488644424031	0.941857050829766	1
Gm45145	0.614295332769378	-9.83853292248845e-05	0.0323614292031285	0.6466852183959	1
Sema4f	978.388154188874	3.16540854321351e-05	0.00439438150421302	0.835289701875025	1
M1ap	56.3249185390284	-0.000107391960134203	0.00799749419078534	0.129543899006777	1
Gm43981	0.37977162608132	3.02496645397745e-05	0.0377284462401806	0.891095024299019	1
Gm56974	23.0518542314773	-9.21772457614138e-06	0.00591085134147514	0.850148068978799	1
Dok1	924.234763919102	2.78680585048318e-05	0.00441574914596575	0.800224826190673	1
Tgfa	1062.69685820403	-4.39719249935206e-05	0.00439900928617938	0.754577979452869	1
Gm43917	4.32128078178455	0.000136110372783035	0.018725513543943	0.298491134189153	1
Gm10443	9.06417067933632	-5.60908335167292e-05	0.00940400246857458	0.406073960138402	1
Gm18862	0.399145761532682	0	0.0377147550109671	1	1
Fam136a	572.94115137165	-4.89888199399643e-05	0.00442577064367664	0.648567612320722	1
Snrpg	584.439002310733	-5.2867668126353e-05	0.00461493856734473	0.46497913258868	1
Gm44941	13.0126482434257	5.24999144525518e-05	0.00921913978930638	0.429791564752926	1
Pcyox1	5343.54949749611	0.000109581198125653	0.00443643982075377	0.376822964082033	1
2310040G24Rik	25.4748837426664	-1.02282045807963e-05	0.00516417732305771	0.833330810404574	1
Gm44386	3.61243381399819	-9.11712812633953e-05	0.0158562721988593	0.421497748819141	1
1600020E01Rik	559.795144581659	6.9959220003166e-05	0.00458496982960521	0.387146427612754	1
Klra17	49.5005648226693	-0.000535606421899856	0.0243475618248346	0.0148246418057256	1
Gm23977	0.78888950764325	-2.54994666948473e-05	0.0239278191151863	0.886759493324983	1
Klra5	13.9871598513347	-9.8070766481946e-06	0.0070414973920633	0.857378781802181	1
Gm15854	1.79662410350709	-5.28732958767677e-05	0.0159182118791517	0.661549680386368	1
Klra6	13.0765321553493	0.000114319126703428	0.014001650191311	0.232674211555374	1
Klra4	93.1998485578059	5.56558816553921e-05	0.00599029070349948	0.322664565486125	1
Klra11-ps	0.990547597442406	0.000118326202227677	0.027297397997045	0.547180013886665	1
Klra8	105.008191323274	-1.09346162788604e-05	0.00491337915708641	0.829893696573814	1
ENSMUSG00000121359	8.88946550958911	4.93049651348042e-05	0.00939165711510392	0.467064237546002	1
Klra9	97.0194015678054	-1.19415292057618e-05	0.00473862188408817	0.827452892522664	1
Gm17733	1.04687015029157	5.99850445098661e-05	0.0242558006018995	0.739605075675524	1
Syn2	410.136991428794	8.00294585672797e-05	0.0048180910209813	0.28027457508702	1
Gm18325	0.482879296005857	0	0.0311994375728661	1	1
Timp4	75.5379061886963	6.18701823974505e-06	0.00492708125833312	0.901981239231024	1
Aebp2	4563.36094111391	0.000310099778235357	0.00439781597674752	0.187566081425418	1
Gm44013	8.64171558738957	-1.81624125885725e-05	0.0062143592387294	0.717741022066448	1
